"1N4148"
V 1.5500 I 0.010090 
V 1.5600 I 0.010410 
V 1.5700 I 0.010690 
V 1.5800 I 0.010970 
V 1.5900 I 0.011360 
V 1.6000 I 0.011710 
V 1.6100 I 0.012020 
V 1.6200 I 0.012410 
V 1.6300 I 0.012830 
V 1.6400 I 0.013590 
V 1.6500 I 0.013990 
V 1.6600 I 0.014370 
V 1.6700 I 0.014760 
V 1.6800 I 0.015180 
V 1.6900 I 0.015710 
V 1.7000 I 0.016110 
V 1.7100 I 0.016480 
V 1.7200 I 0.016910 
V 1.7300 I 0.017290 
V 1.7400 I 0.017630 
V 1.7500 I 0.017990 
V 1.7600 I 0.018420 
V 1.7700 I 0.018780 
V 1.7800 I 0.019050 
V 1.7900 I 0.019400 
V 1.8000 I 0.019780 


"Red LED"
